"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Concept Definition","Concept Subject","Concept Note","Translatable"
"Medication","A pharmaceutical drug used to treat, cure, or prevent disease","noun","preferred","","","Singular form","Medikament","Ein pharmazeutisches Arzneimittel zur Behandlung, Heilung oder Vorbeugung von Krankheiten","noun","preferred","","neuter","Singular","Individual pharmaceutical product with specific dosage and form","Healthcare","Core concept in medication management","yes"
"Medications","Multiple pharmaceutical drugs","noun","preferred","","","Plural form","Medikamente","Mehrere pharmazeutische Arzneimittel","noun","preferred","","","Plural","Collection of pharmaceutical products","Healthcare","Plural of Medication","yes"
"Inventory","Current stock level of medication units available","noun","preferred","","","Stock tracking","Lagerbestand","Aktueller Bestand an verfügbaren Medikamenteneinheiten","noun","preferred","","masculine","Auch: Bestand","Current stock quantity tracking system","Inventory Management","Key metric for availability","yes"
"Stock","Current quantity on hand","noun","preferred","","","Alternative to inventory","Bestand","Aktuelle verfügbare Menge","noun","preferred","","masculine","Alternative zu Lagerbestand","Current quantity available","Inventory Management","Synonym for inventory","yes"
"Package","Container with specific number of medication units","noun","preferred","","","Physical packaging","Packung","Behälter mit bestimmter Anzahl von Medikamenteneinheiten","noun","preferred","","feminine","Packungsgröße","Physical container of medication units","Pharmacy","Standard packaging unit","yes"
"Package Size","Standardized medication package sizes","noun","preferred","","","N1/N2/N3 system","Packungsgröße","Standardisierte Medikamentenpackungsgrößen","noun","preferred","","feminine","N1/N2/N3 System","Standardized packaging quantities","Pharmacy","German pharmacy system","yes"
"Units","Individual pills, tablets, or doses","noun","preferred","","","Plural, countable","Einheiten","Einzelne Pillen, Tabletten oder Dosen","noun","preferred","","","Plural, zählbar","Individual countable medication doses","Pharmacy","Base unit for counting","yes"
"Unit","Single pill, tablet, or dose","noun","preferred","","","Singular","Einheit","Einzelne Pille, Tablette oder Dosis","noun","preferred","","feminine","Singular","Single countable medication dose","Pharmacy","Singular of Units","yes"
"Pills","Solid dosage forms of medication","noun","preferred","","","Common term","Pillen","Feste Darreichungsformen von Medikamenten","noun","preferred","","","Auch: Tabletten","Solid medication forms","Pharmacy","Common dosage form","yes"
"Tablets","Compressed solid dosage forms","noun","preferred","","","Medical term","Tabletten","Gepresste feste Darreichungsformen","noun","preferred","","","Medizinischer Begriff","Compressed medication forms","Pharmacy","Specific dosage form","yes"
"Physician","Medical doctor who prescribes medications","noun","preferred","","","Healthcare provider","Arzt","Mediziner, der Medikamente verschreibt","noun","preferred","","masculine","Auch: Ärztin (fem.)","Medical professional who prescribes treatment","Healthcare","Primary care provider","yes"
"Doctor","Medical practitioner","noun","preferred","","","Common term","Doktor","Medizinischer Praktiker","noun","preferred","","masculine","Umgangssprachlich für Arzt","Medical professional","Healthcare","Informal term for physician","yes"
"Visit","Scheduled appointment with a physician","noun","preferred","","","Medical appointment","Termin","Geplanter Arztbesuch","noun","preferred","","masculine","Auch: Arzttermin","Scheduled medical appointment","Healthcare","Trigger for ordering","yes"
"Appointment","Scheduled meeting with physician","noun","preferred","","","Alternative term","Arzttermin","Geplantes Treffen mit dem Arzt","noun","preferred","","masculine","Alternative zu Termin","Scheduled medical meeting","Healthcare","Synonym for visit","yes"
"Dosage","Amount of medication taken at one time","noun","preferred","","","Medical dosing","Dosierung","Menge der Medikation pro Einnahme","noun","preferred","","feminine","Dosis pro Einnahme","Prescribed amount per administration","Pharmacy","Critical safety information","yes"
"Dose","Single administration amount","noun","preferred","","","Single amount","Dosis","Einzelne Verabreichungsmenge","noun","preferred","","feminine","Einzelmenge","Single medication amount","Pharmacy","One-time amount","yes"
"Schedule","Timing and frequency of medication intake","noun","preferred","","","Medication timing","Einnahmeplan","Zeitpunkt und Häufigkeit der Medikamenteneinnahme","noun","preferred","","masculine","Auch: Schema","Medication timing and frequency plan","Healthcare","Basis for deduction","yes"
"Intake","Act of taking medication","noun","preferred","","","Consumption","Einnahme","Akt der Medikamenteneinnahme","noun","preferred","","feminine","Medikamentenkonsum","Act of consuming medication","Healthcare","Medical compliance","yes"
"Depletion","Process of inventory running out","noun","preferred","","","Stock consumption","Aufbrauch","Prozess des Lagerbestandsverbrauchs","noun","preferred","","masculine","Auch: Verbrauch","Process of inventory being consumed","Inventory Management","Automated calculation","yes"
"Consumption","Usage of medication over time","noun","preferred","","","Usage pattern","Verbrauch","Nutzung von Medikamenten über Zeit","noun","preferred","","masculine","Nutzungsmuster","Pattern of medication use","Inventory Management","Usage tracking","yes"
"Threshold","Minimum inventory level for warnings","noun","preferred","","","Warning level","Schwellenwert","Mindestbestand für Warnungen","noun","preferred","","masculine","Auch: Mindestbestand","Minimum stock warning level","Inventory Management","User-configurable","yes"
"Minimum Stock","Lowest acceptable inventory level","noun","preferred","","","Safety level","Mindestbestand","Niedrigster akzeptabler Lagerbestand","noun","preferred","","masculine","Sicherheitslevel","Lowest safe inventory level","Inventory Management","Warning trigger","yes"
"Order","Request for medication from physician","noun","preferred","","","Medical request","Bestellung","Anfrage für Medikamente beim Arzt","noun","preferred","","feminine","Medikamentenanfrage","Request for medication supply","Healthcare","Links visits to meds","yes"
"Order","To request medication","verb","preferred","","","Action","bestellen","Medikamente anfordern","verb","preferred","","","Aktion","Act of requesting medication","Healthcare","Verb form","yes"
"Order Form","Template for medication orders","noun","preferred","","","Document template","Bestellformular","Vorlage für Medikamentenbestellungen","noun","preferred","","neuter","Dokumentvorlage","Template for ordering medications","System Feature","Previously called prescription template","yes"
"Order Template","Reusable order form configuration","noun","preferred","","","System template","Bestellvorlage","Wiederverwendbare Bestellformular-Konfiguration","noun","preferred","","feminine","Systemvorlage","Reusable order configuration","System Feature","For generating order PDFs","yes"
"Prescription","Medical order for specific medications","noun","preferred","","","Medical document","Rezept","Ärztliche Verordnung für Medikamente","noun","preferred","","neuter","Ärztliches Dokument","Official medication authorization","Healthcare","Legal requirement","yes"
"Prescription Form","Official prescription document","noun","preferred","","","Legal form","Rezeptformular","Offizielles Rezeptdokument","noun","preferred","","neuter","Gesetzliches Formular","Official prescription paper","Healthcare","For pharmacy use","yes"
"Template","Reusable pattern or format","noun","preferred","","","Generic template","Vorlage","Wiederverwendbares Muster oder Format","noun","preferred","","feminine","Auch: Schablone","Reusable preset configuration","System Feature","General template concept","yes"
"N1","Small package size (10-14 days)","noun","preferred","code","","Do not translate","N1","Kleine Packungsgröße (10-14 Tage)","noun","preferred","code","","Nicht übersetzen","Small package size standard","German Pharmacy","Standard code","no"
"N2","Medium package size (30 days)","noun","preferred","code","","Do not translate","N2","Mittlere Packungsgröße (30 Tage)","noun","preferred","code","","Nicht übersetzen","Medium package size standard","German Pharmacy","Standard code","no"
"N3","Large package size (100 days)","noun","preferred","code","","Do not translate","N3","Große Packungsgröße (100 Tage)","noun","preferred","code","","Nicht übersetzen","Large package size standard","German Pharmacy","Standard code","no"
"Gap Coverage","Planning for supply continuity","noun","preferred","","","Supply planning","Überbrückungsversorgung","Planung für Versorgungskontinuität","noun","preferred","","feminine","Auch: Lückenabdeckung","Supply continuity planning","Inventory Management","Critical planning","yes"
"Gap","Supply interruption period","noun","preferred","","","Supply gap","Lücke","Versorgungsunterbrechungszeitraum","noun","preferred","","feminine","Versorgungslücke","Period without medication","Inventory Management","To be avoided","yes"
"Safety Margin","Extra supply buffer","noun","preferred","","","Risk buffer","Sicherheitspuffer","Zusätzlicher Vorratspuffer","noun","preferred","","masculine","Auch: Pufferzeit","Extra supply for contingencies","Inventory Management","User-configurable","yes"
"Buffer","Safety stock amount","noun","preferred","","","Safety amount","Puffer","Sicherheitsbestandsmenge","noun","preferred","","masculine","Sicherheitsmenge","Safety stock quantity","Inventory Management","Extra inventory","yes"
"Over-The-Counter","Medications without prescription","adjective","preferred","","","OTC","Rezeptfrei","Medikamente ohne Rezept","adjective","preferred","","","Auch: Freiverkäuflich","Non-prescription medication category","Pharmacy Regulation","Legal classification","yes"
"OTC","Over-The-Counter abbreviation","noun","preferred","abbreviation","","Common abbreviation","OTC","Abkürzung für rezeptfrei","noun","preferred","abbreviation","","Gängige Abkürzung","Abbreviation for Over-The-Counter","Pharmacy Regulation","Standard abbreviation","yes"
"Dashboard","Main overview screen","noun","preferred","","","Home screen","Übersicht","Hauptübersichtsbildschirm","noun","preferred","","feminine","Auch: Dashboard","Main information overview","User Interface","Application home","yes"
"Overview","Summary view of information","noun","preferred","","","Summary screen","Überblick","Zusammenfassende Ansicht","noun","preferred","","masculine","Zusammenfassung","Summary information display","User Interface","Dashboard alternative","yes"
"Alert","Warning notification message","noun","preferred","","","System warning","Warnung","Warnbenachrichtigung","noun","preferred","","feminine","Auch: Benachrichtigung","Warning or notification","System Feature","System-generated","yes"
"Notification","System message to user","noun","preferred","","","System message","Benachrichtigung","Systemnachricht an Benutzer","noun","preferred","","feminine","Systemmeldung","Message to user","System Feature","Alert alternative","yes"
"Warning","Important alert message","noun","preferred","","","Critical alert","Hinweis","Wichtige Warnmeldung","noun","preferred","","masculine","Kritische Warnung","Important notification","System Feature","High priority alert","yes"
"Export","Save data to external file","verb","preferred","","","Data export","exportieren","Daten in externe Datei speichern","verb","preferred","","","Datenexport","Act of saving data externally","Data Management","Data extraction","yes"
"Export","Data extraction process","noun","preferred","","","Export process","Export","Datenextraktionsprozess","noun","preferred","","masculine","Exportvorgang","Data extraction to file","Data Management","Noun form","yes"
"Import","Load data from external file","verb","preferred","","","Data import","importieren","Daten aus externer Datei laden","verb","preferred","","","Datenimport","Act of loading external data","Data Management","Data loading","yes"
"Import","Data loading process","noun","preferred","","","Import process","Import","Datenladeprozess","noun","preferred","","masculine","Importvorgang","Data loading from file","Data Management","Noun form","yes"
"Backup","Copy for recovery purposes","noun","preferred","","","Data backup","Sicherung","Kopie für Wiederherstellungszwecke","noun","preferred","","feminine","Auch: Backup","Data protection copy","Data Management","SQLite backup","yes"
"Backup","Create recovery copy","verb","preferred","","","Backup action","sichern","Wiederherstellungskopie erstellen","verb","preferred","","","Sicherungsaktion","Act of creating backup","Data Management","Verb form","yes"
"Restore","Recover from backup","verb","preferred","","","Recovery action","wiederherstellen","Aus Sicherung wiederherstellen","verb","preferred","","","Wiederherstellungsaktion","Act of recovering data","Data Management","Opposite of backup","yes"
"Recovery","Data restoration process","noun","preferred","","","Restoration","Wiederherstellung","Datenwiederherstellungsprozess","noun","preferred","","feminine","Restoration","Process of restoring data","Data Management","From backup","yes"
"Delete","Remove permanently","verb","preferred","","","Remove action","löschen","Dauerhaft entfernen","verb","preferred","","","Entfernen","Act of removing data","Data Management","Permanent action","yes"
"Remove","Take away or delete","verb","preferred","","","Delete action","entfernen","Wegnehmen oder löschen","verb","preferred","","","Löschen","Act of taking away","Data Management","Alternative to delete","yes"
"Cancel","Stop current action","verb","preferred","","","Abort action","abbrechen","Aktuelle Aktion stoppen","verb","preferred","","","Aktion abbrechen","Act of stopping","User Interface","User action","yes"
"Save","Store data permanently","verb","preferred","","","Store action","speichern","Daten dauerhaft speichern","verb","preferred","","","Speicheraktion","Act of storing data","Data Management","Persist data","yes"
"Edit","Modify existing data","verb","preferred","","","Modify action","bearbeiten","Bestehende Daten ändern","verb","preferred","","","Ändern","Act of modifying","User Interface","Change data","yes"
"Update","Apply changes to data","verb","preferred","","","Change action","aktualisieren","Änderungen anwenden","verb","preferred","","","Änderung anwenden","Act of updating","Data Management","Apply changes","yes"
"Add","Create new entry","verb","preferred","","","Create action","hinzufügen","Neuen Eintrag erstellen","verb","preferred","","","Erstellen","Act of adding","User Interface","Create new","yes"
"New","Recently created","adjective","preferred","","","Fresh item","neu","Kürzlich erstellt","adjective","preferred","","","Frisch erstellt","Recently created item","User Interface","Not existing before","yes"
"Create","Make something new","verb","preferred","","","Make action","erstellen","Etwas Neues machen","verb","preferred","","","Neu machen","Act of creating","User Interface","Make new","yes"
"Settings","Configuration options","noun","preferred","","","Always plural","Einstellungen","Konfigurationsoptionen","noun","preferred","","","Immer Plural","Application configuration","System Feature","User preferences","yes"
"Configuration","System setup options","noun","preferred","","","Setup options","Konfiguration","Systemeinrichtungsoptionen","noun","preferred","","feminine","Einrichtung","System setup parameters","System Feature","Technical settings","yes"
"Preferences","User choices and settings","noun","preferred","","","User settings","Präferenzen","Benutzerauswahl und -einstellungen","noun","preferred","","","Benutzereinstellungen","User configuration choices","System Feature","Personal settings","yes"
"Language","Interface display language","noun","preferred","","","UI language","Sprache","Oberflächenanzeigesprache","noun","preferred","","feminine","UI-Sprache","Interface language selection","System Feature","i18n support","yes"
"Timezone","Local time zone setting","noun","preferred","","","Time setting","Zeitzone","Lokale Zeitzoneneinstellung","noun","preferred","","feminine","Zeiteinstellung","Geographic time configuration","System Feature","Critical for scheduling","yes"
"Active","Currently in use","adjective","preferred","","","Enabled state","aktiv","Derzeit in Verwendung","adjective","preferred","","","Aktiviert","Currently enabled status","System Feature","Medication status","yes"
"Inactive","Not currently in use","adjective","preferred","","","Disabled state","inaktiv","Derzeit nicht in Verwendung","adjective","preferred","","","Deaktiviert","Currently disabled status","System Feature","Medication status","yes"
"Enable","Make active or turn on","verb","preferred","","","Activate","aktivieren","Aktiv machen oder einschalten","verb","preferred","","","Einschalten","Act of enabling","System Feature","Turn on","yes"
"Disable","Make inactive or turn off","verb","preferred","","","Deactivate","deaktivieren","Inaktiv machen oder ausschalten","verb","preferred","","","Ausschalten","Act of disabling","System Feature","Turn off","yes"
"Automatic","Done without manual intervention","adjective","preferred","","","Self-operating","automatisch","Ohne manuelle Eingriffe","adjective","preferred","","","Selbsttätig","Without user action","System Feature","System-driven","yes"
"Manual","Done by hand or user action","adjective","preferred","","","User-driven","manuell","Von Hand oder durch Benutzer","adjective","preferred","","","Benutzergesteuert","With user action","System Feature","User-driven","yes"
"Automatic Deduction","System reduces inventory automatically","noun","preferred","","","Auto-reduction","Automatischer Abzug","System reduziert Bestand automatisch","noun","preferred","","masculine","Auto-Reduzierung","Automated inventory reduction","System Feature","Core feature","yes"
"Manual Entry","User-initiated data input","noun","preferred","","","User input","Manuelle Eingabe","Benutzereingabe","noun","preferred","","feminine","Benutzereingabe","User-initiated data entry","System Feature","User action","yes"
"Low Stock","Below threshold warning","noun","preferred","","","Stock warning","Niedriger Bestand","Warnung unter Schwellenwert","noun","preferred","","masculine","Bestandswarnung","Below-threshold inventory","Inventory Management","Triggers alerts","yes"
"Out of Stock","No inventory remaining","adjective","preferred","","","Zero stock","Ausverkauft","Kein Bestand vorhanden","adjective","preferred","","","Leer","Zero inventory state","Inventory Management","Critical state","yes"
"Refill","Replenish medication supply","verb","preferred","","","Restock","nachfüllen","Medikamentenvorrat auffüllen","verb","preferred","","","Auch: auffüllen","Act of replenishing","Inventory Management","Inventory increase","yes"
"Restock","Add new inventory","verb","preferred","","","Refill stock","aufstocken","Neuen Bestand hinzufügen","verb","preferred","","","Bestand ergänzen","Act of adding stock","Inventory Management","Alternative to refill","yes"
"Compliance","Following medication schedule","noun","preferred","","","Adherence","Therapietreue","Befolgung des Medikamentenplans","noun","preferred","","feminine","Auch: Compliance","Adherence to schedule","Healthcare","Medical compliance","yes"
"Adherence","Sticking to treatment plan","noun","preferred","","","Compliance","Adhärenz","Einhaltung des Behandlungsplans","noun","preferred","","feminine","Therapietreue","Following treatment plan","Healthcare","Medical term","yes"
"Side Effects","Unwanted medication effects","noun","preferred","","","Adverse effects","Nebenwirkungen","Unerwünschte Medikamentenwirkungen","noun","preferred","","","Unerwünschte Wirkungen","Unintended medication effects","Healthcare","Safety information","yes"
"Contraindications","Conditions preventing use","noun","preferred","","","Medical warnings","Kontraindikationen","Bedingungen, die Verwendung verhindern","noun","preferred","","","Auch: Gegenanzeigen","Medical conditions preventing use","Healthcare","Safety warnings","yes"
"Generic","Non-brand medication","adjective","preferred","","","Non-branded","generisch","Nicht-Markenmedikament","adjective","preferred","","","Auch: Generikum","Non-branded medication","Pharmacy","Cost-effective","yes"
"Brand Name","Trademarked medication name","noun","preferred","","","Trade name","Markenname","Geschützter Medikamentenname","noun","preferred","","masculine","Auch: Handelsname","Trademarked product name","Pharmacy","Commercial name","yes"
"Active Ingredient","Therapeutic chemical component","noun","preferred","","","Active substance","Wirkstoff","Therapeutischer chemischer Bestandteil","noun","preferred","","masculine","Aktive Substanz","Therapeutic component","Pharmacy","Medical substance","yes"
"Expiration Date","Use-by date for medication","noun","preferred","","","Expiry date","Verfallsdatum","Haltbarkeitsdatum für Medikamente","noun","preferred","","neuter","Auch: Ablaufdatum","Medication use-by date","Pharmacy","Safety requirement","yes"
"Lot Number","Batch identification number","noun","preferred","","","Batch number","Chargennummer","Batch-Identifikationsnummer","noun","preferred","","feminine","Auch: Losnummer","Production batch identifier","Quality Control","Traceability","yes"
"Batch","Production lot of medication","noun","preferred","","","Production run","Charge","Produktionslos von Medikamenten","noun","preferred","","feminine","Produktionslauf","Production unit","Quality Control","Manufacturing term","yes"
"Frequency","How often medication is taken","noun","preferred","","","Dosing frequency","Häufigkeit","Wie oft Medikamente eingenommen werden","noun","preferred","","feminine","Auch: Frequenz","Medication intake frequency","Healthcare","Part of schedule","yes"
"Daily","Every day","adjective","preferred","","","Once per day","täglich","Jeden Tag","adjective","preferred","","","Einmal pro Tag","Every day frequency","Healthcare","Common frequency","yes"
"Weekly","Every week","adjective","preferred","","","Once per week","wöchentlich","Jede Woche","adjective","preferred","","","Einmal pro Woche","Every week frequency","Healthcare","Common frequency","yes"
"Monthly","Every month","adjective","preferred","","","Once per month","monatlich","Jeden Monat","adjective","preferred","","","Einmal pro Monat","Every month frequency","Healthcare","Common frequency","yes"
"Duration","Length of treatment","noun","preferred","","","Treatment period","Dauer","Behandlungslänge","noun","preferred","","feminine","Behandlungsdauer","Treatment time period","Healthcare","Treatment length","yes"
"Days","Period in days","noun","preferred","","","Day count","Tage","Zeitraum in Tagen","noun","preferred","","","Tageszahl","Number of days","Time","Time unit","yes"
"Weeks","Period in weeks","noun","preferred","","","Week count","Wochen","Zeitraum in Wochen","noun","preferred","","","Wochenzahl","Number of weeks","Time","Time unit","yes"
"Months","Period in months","noun","preferred","","","Month count","Monate","Zeitraum in Monaten","noun","preferred","","","Monatszahl","Number of months","Time","Time unit","yes"
"Notes","Additional information","noun","preferred","","","Comments","Notizen","Zusätzliche Informationen","noun","preferred","","","Auch: Anmerkungen","User-added information","System Feature","Free text","yes"
"Comments","User remarks or notes","noun","preferred","","","User notes","Kommentare","Benutzeranmerkungen","noun","preferred","","","Bemerkungen","User-added remarks","System Feature","Alternative to notes","yes"
"Remarks","Observations or comments","noun","preferred","","","Observations","Bemerkungen","Beobachtungen oder Kommentare","noun","preferred","","","Anmerkungen","User observations","System Feature","Alternative term","yes"
"Confirm","Verify action before proceeding","verb","preferred","","","Verify","bestätigen","Aktion vor Fortfahren überprüfen","verb","preferred","","","Verifizieren","Act of confirming","User Interface","Safety check","yes"
"Are you sure","Confirmation question","phrase","preferred","","","Safety prompt","Bist du sicher","Bestätigungsfrage","phrase","preferred","","","Sicherheitsabfrage","Confirmation prompt","User Interface","Uses informal du","yes"
"Yes","Affirmative response","interjection","preferred","","","Confirmation","Ja","Bestätigende Antwort","interjection","preferred","","","Bestätigung","Positive response","User Interface","Agreement","yes"
"No","Negative response","interjection","preferred","","","Denial","Nein","Verneinende Antwort","interjection","preferred","","","Verneinung","Negative response","User Interface","Disagreement","yes"
"OK","Acknowledgment","interjection","preferred","","","Agreement","OK","Bestätigung","interjection","preferred","","","In Ordnung","Acknowledgment response","User Interface","Universal term","yes"
"Submit","Send form data","verb","preferred","","","Send action","absenden","Formulardaten senden","verb","preferred","","","Senden","Act of submitting","User Interface","Form action","yes"
"Send","Transmit data","verb","preferred","","","Transmit","senden","Daten übertragen","verb","preferred","","","Übermitteln","Act of sending","User Interface","Alternative to submit","yes"
"Select","Choose from options","verb","preferred","","","Choose","auswählen","Aus Optionen wählen","verb","preferred","","","Wählen","Act of selecting","User Interface","User choice","yes"
"Choose","Pick from alternatives","verb","preferred","","","Select","wählen","Aus Alternativen auswählen","verb","preferred","","","Auswählen","Act of choosing","User Interface","Alternative to select","yes"
"Search","Look for information","verb","preferred","","","Find","suchen","Nach Informationen suchen","verb","preferred","","","Finden","Act of searching","User Interface","Find data","yes"
"Find","Locate information","verb","preferred","","","Locate","finden","Informationen lokalisieren","verb","preferred","","","Lokalisieren","Act of finding","User Interface","Alternative to search","yes"
"Filter","Narrow down results","verb","preferred","","","Refine","filtern","Ergebnisse eingrenzen","verb","preferred","","","Eingrenzen","Act of filtering","User Interface","Refine results","yes"
"Sort","Arrange in order","verb","preferred","","","Order","sortieren","In Reihenfolge bringen","verb","preferred","","","Ordnen","Act of sorting","User Interface","Arrange data","yes"
"Help","Assistance or support","noun","preferred","","","Support","Hilfe","Unterstützung oder Support","noun","preferred","","feminine","Support","User assistance","User Interface","User support","yes"
"Close","Shut or end","verb","preferred","","","End action","schließen","Beenden oder zumachen","verb","preferred","","","Beenden","Act of closing","User Interface","End action","yes"
"Open","Start or begin","verb","preferred","","","Start action","öffnen","Starten oder beginnen","verb","preferred","","","Starten","Act of opening","User Interface","Start action","yes"
"Show","Display information","verb","preferred","","","Display","anzeigen","Informationen darstellen","verb","preferred","","","Zeigen","Act of showing","User Interface","Display action","yes"
"Hide","Conceal information","verb","preferred","","","Conceal","ausblenden","Informationen verbergen","verb","preferred","","","Verbergen","Act of hiding","User Interface","Conceal action","yes"
"Print","Create paper copy","verb","preferred","","","Paper output","drucken","Papierkopie erstellen","verb","preferred","","","Ausdrucken","Act of printing","User Interface","Paper output","yes"
"Download","Save from server","verb","preferred","","","Get file","herunterladen","Vom Server speichern","verb","preferred","","","Download","Act of downloading","User Interface","Get from server","yes"
"Upload","Send to server","verb","preferred","","","Send file","hochladen","Zum Server senden","verb","preferred","","","Upload","Act of uploading","User Interface","Send to server","yes"
"Login","Access system","verb","preferred","","","Sign in","anmelden","System zugreifen","verb","preferred","","","Einloggen","Act of logging in","User Interface","System access","yes"
"Logout","Exit system","verb","preferred","","","Sign out","abmelden","System verlassen","verb","preferred","","","Ausloggen","Act of logging out","User Interface","System exit","yes"
"User","Person using the system","noun","preferred","","","System user","Benutzer","Person, die das System nutzt","noun","preferred","","masculine","Auch: Benutzerin","System user","System Feature","Person using app","yes"
"Password","Secret access code","noun","preferred","","","Access code","Passwort","Geheimer Zugangscode","noun","preferred","","neuter","Kennwort","Secret authentication","Security","Authentication","yes"
"Username","User identification","noun","preferred","","","User ID","Benutzername","Benutzeridentifikation","noun","preferred","","masculine","Benutzer-ID","User identifier","Security","Login name","yes"
"Email","Electronic mail address","noun","preferred","","","E-mail","E-Mail","Elektronische Postadresse","noun","preferred","","feminine","Email","Electronic mail","Communication","Contact method","yes"
