"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Concept Definition","Concept Subject","Concept Note","Translatable"
"Phone","Telephone number","noun","preferred","","","Telephone","Telefon","Telefonnummer","noun","preferred","","neuter","Telefonnummer","Telephone contact","Communication","Contact method","yes"
"Address","Physical location","noun","preferred","","","Location","Adresse","Physischer Standort","noun","preferred","","feminine","Anschrift","Physical address","Contact","Location info","yes"
"Name","Personal or item identifier","noun","preferred","","","Identifier","Name","Personen- oder Artikelbezeichnung","noun","preferred","","masculine","Bezeichnung","Identifying label","General","Basic identifier","yes"
"First Name","Given name","noun","preferred","","","Given name","Vorname","Gegebener Name","noun","preferred","","masculine","Rufname","Personal given name","Contact","Personal name","yes"
"Last Name","Family name","noun","preferred","","","Surname","Nachname","Familienname","noun","preferred","","masculine","Familienname","Personal family name","Contact","Family name","yes"
"Date","Calendar day","noun","preferred","","","Calendar date","Datum","Kalendertag","noun","preferred","","neuter","Kalenderdatum","Specific calendar day","Time","Time reference","yes"
"Time","Clock time","noun","preferred","","","Clock time","Zeit","Uhrzeit","noun","preferred","","feminine","Uhrzeit","Specific time","Time","Time reference","yes"
"Today","Current day","noun","preferred","","","This day","Heute","Aktueller Tag","noun","preferred","","","Dieser Tag","Current calendar day","Time","Present day","yes"
"Tomorrow","Next day","noun","preferred","","","Following day","Morgen","Nächster Tag","noun","preferred","","","Folgender Tag","Day after today","Time","Future day","yes"
"Yesterday","Previous day","noun","preferred","","","Prior day","Gestern","Vorheriger Tag","noun","preferred","","","Vortag","Day before today","Time","Past day","yes"
"Now","Current moment","adverb","preferred","","","Present","Jetzt","Aktueller Moment","adverb","preferred","","","Gegenwart","Present moment","Time","Current time","yes"
"Soon","Near future","adverb","preferred","","","Shortly","Bald","Nahe Zukunft","adverb","preferred","","","Demnächst","Near future time","Time","Future reference","yes"
"Later","Future time","adverb","preferred","","","Afterwards","Später","Zukünftige Zeit","adverb","preferred","","","Nachher","Future moment","Time","Future reference","yes"
"All","Everything","determiner","preferred","","","Complete","Alle","Alles","determiner","preferred","","","Komplett","Everything included","General","Totality","yes"
"None","Nothing","pronoun","preferred","","","Zero","Keine","Nichts","pronoun","preferred","","","Null","Nothing at all","General","Absence","yes"
"Some","Part of total","determiner","preferred","","","Partial","Einige","Teil des Ganzen","determiner","preferred","","","Manche","Partial amount","General","Subset","yes"
"Required","Must be provided","adjective","preferred","","","Mandatory","Erforderlich","Muss angegeben werden","adjective","preferred","","","Pflicht","Mandatory field","Validation","Must have","yes"
"Optional","May be provided","adjective","preferred","","","Not required","Optional","Kann angegeben werden","adjective","preferred","","","Freiwillig","Not mandatory","Validation","May have","yes"
"Error","Something went wrong","noun","preferred","","","Mistake","Fehler","Etwas ist schiefgelaufen","noun","preferred","","masculine","Problem","System problem","System Feature","Problem occurred","yes"
"Success","Operation completed","noun","preferred","","","Completion","Erfolg","Vorgang abgeschlossen","noun","preferred","","masculine","Abschluss","Successful completion","System Feature","Good outcome","yes"
"Loading","Data being fetched","verb","preferred","","","Fetching","Laden","Daten werden abgerufen","verb","preferred","","","Abrufen","Getting data","System Feature","In progress","yes"
"Processing","Operation in progress","verb","preferred","","","Working","Verarbeiten","Vorgang läuft","verb","preferred","","","Bearbeiten","Working on task","System Feature","In progress","yes"
"Complete","Finished successfully","adjective","preferred","","","Done","Abgeschlossen","Erfolgreich beendet","adjective","preferred","","","Fertig","Successfully done","System Feature","Finished state","yes"
"Pending","Waiting to process","adjective","preferred","","","Waiting","Ausstehend","Wartet auf Verarbeitung","adjective","preferred","","","Wartend","Waiting state","System Feature","Not yet done","yes"
"Failed","Did not succeed","adjective","preferred","","","Unsuccessful","Fehlgeschlagen","Nicht erfolgreich","adjective","preferred","","","Gescheitert","Unsuccessful attempt","System Feature","Bad outcome","yes"
"Retry","Try again","verb","preferred","","","Attempt again","Wiederholen","Erneut versuchen","verb","preferred","","","Nochmal versuchen","Try again action","System Feature","Second attempt","yes"
"Refresh","Update display","verb","preferred","","","Reload","Aktualisieren","Anzeige erneuern","verb","preferred","","","Neu laden","Update view","User Interface","Update display","yes"
"Home","Main page","noun","preferred","","","Start page","Startseite","Hauptseite","noun","preferred","","feminine","Homepage","Main application page","User Interface","Dashboard page","yes"
"Back","Return to previous","verb","preferred","","","Go back","Zurück","Zur vorherigen Seite","verb","preferred","","","Zurückgehen","Return action","User Interface","Navigation","yes"
"Next","Following item","adjective","preferred","","","Subsequent","Nächste","Folgender Eintrag","adjective","preferred","","","Folgend","Following in sequence","User Interface","Navigation","yes"
"Previous","Prior item","adjective","preferred","","","Preceding","Vorherige","Vorheriger Eintrag","adjective","preferred","","","Vorangehend","Before in sequence","User Interface","Navigation","yes"
"First","Initial item","adjective","preferred","","","Beginning","Erste","Erster Eintrag","adjective","preferred","","","Anfang","First in sequence","User Interface","Navigation","yes"
"Last","Final item","adjective","preferred","","","End","Letzte","Letzter Eintrag","adjective","preferred","","","Ende","Final in sequence","User Interface","Navigation","yes"
"Total","Complete sum","noun","preferred","","","Sum","Gesamt","Vollständige Summe","noun","preferred","","","Summe","Complete amount","Mathematics","Full sum","yes"
"Amount","Quantity or sum","noun","preferred","","","Quantity","Menge","Anzahl oder Summe","noun","preferred","","feminine","Anzahl","Quantity value","Mathematics","How much","yes"
"Count","Number of items","noun","preferred","","","Number","Anzahl","Anzahl der Elemente","noun","preferred","","feminine","Zählung","Item count","Mathematics","How many","yes"
"Quantity","Amount of something","noun","preferred","","","Amount","Quantität","Menge von etwas","noun","preferred","","feminine","Menge","Amount measure","Mathematics","How much","yes"
"Price","Cost of item","noun","preferred","","","Cost","Preis","Kosten des Artikels","noun","preferred","","masculine","Kosten","Item cost","Finance","Money value","yes"
"Cost","Price to pay","noun","preferred","","","Expense","Kosten","Zu zahlender Preis","noun","preferred","","","Preis","Amount to pay","Finance","Money required","yes"
"Free","No cost","adjective","preferred","","","Gratis","Kostenlos","Ohne Kosten","adjective","preferred","","","Gratis","Without charge","Finance","Zero cost","yes"
"Paid","Cost settled","adjective","preferred","","","Settled","Bezahlt","Kosten beglichen","adjective","preferred","","","Beglichen","Payment made","Finance","Money paid","yes"
"Invoice","Bill for payment","noun","preferred","","","Bill","Rechnung","Zahlungsaufforderung","noun","preferred","","feminine","Faktura","Payment request","Finance","Bill document","yes"
"Receipt","Proof of payment","noun","preferred","","","Payment proof","Quittung","Zahlungsnachweis","noun","preferred","","feminine","Beleg","Payment confirmation","Finance","Payment proof","yes"
"Status","Current state","noun","preferred","","","State","Status","Aktueller Zustand","noun","preferred","","masculine","Zustand","Current condition","System Feature","State info","yes"
"State","Condition or status","noun","preferred","","","Condition","Zustand","Bedingung oder Status","noun","preferred","","masculine","Status","Current condition","System Feature","Status info","yes"
"Available","Can be used","adjective","preferred","","","Usable","Verfügbar","Kann verwendet werden","adjective","preferred","","","Nutzbar","Ready to use","System Feature","Can access","yes"
"Unavailable","Cannot be used","adjective","preferred","","","Not usable","Nicht verfügbar","Kann nicht verwendet werden","adjective","preferred","","","Nicht nutzbar","Not ready to use","System Feature","Cannot access","yes"
"Enabled","Turned on","adjective","preferred","","","Active","Aktiviert","Eingeschaltet","adjective","preferred","","","Aktiv","Currently on","System Feature","Active state","yes"
"Disabled","Turned off","adjective","preferred","","","Inactive","Deaktiviert","Ausgeschaltet","adjective","preferred","","","Inaktiv","Currently off","System Feature","Inactive state","yes"
"Visible","Can be seen","adjective","preferred","","","Shown","Sichtbar","Kann gesehen werden","adjective","preferred","","","Angezeigt","Currently shown","User Interface","Display state","yes"
"Hidden","Cannot be seen","adjective","preferred","","","Not shown","Verborgen","Kann nicht gesehen werden","adjective","preferred","","","Ausgeblendet","Currently hidden","User Interface","Not displayed","yes"
"Selected","Chosen item","adjective","preferred","","","Picked","Ausgewählt","Gewählter Eintrag","adjective","preferred","","","Gewählt","Currently chosen","User Interface","Picked state","yes"
"Unselected","Not chosen","adjective","preferred","","","Not picked","Nicht ausgewählt","Nicht gewählt","adjective","preferred","","","Nicht gewählt","Not chosen","User Interface","Not picked","yes"
"Checked","Box is marked","adjective","preferred","","","Marked","Markiert","Kästchen ist markiert","adjective","preferred","","","Angekreuzt","Checkbox marked","User Interface","Box checked","yes"
"Unchecked","Box not marked","adjective","preferred","","","Not marked","Nicht markiert","Kästchen nicht markiert","adjective","preferred","","","Nicht angekreuzt","Checkbox unmarked","User Interface","Box unchecked","yes"
"Valid","Correct format","adjective","preferred","","","Correct","Gültig","Korrektes Format","adjective","preferred","","","Korrekt","Properly formatted","Validation","Format correct","yes"
"Invalid","Incorrect format","adjective","preferred","","","Incorrect","Ungültig","Falsches Format","adjective","preferred","","","Inkorrekt","Improperly formatted","Validation","Format wrong","yes"
"Minimum","Lowest value","noun","preferred","","","Lowest","Minimum","Niedrigster Wert","noun","preferred","","neuter","Mindestwert","Smallest allowed","Mathematics","Lower bound","yes"
"Maximum","Highest value","noun","preferred","","","Highest","Maximum","Höchster Wert","noun","preferred","","neuter","Höchstwert","Largest allowed","Mathematics","Upper bound","yes"
"Average","Mean value","noun","preferred","","","Mean","Durchschnitt","Mittelwert","noun","preferred","","masculine","Mittel","Statistical mean","Mathematics","Middle value","yes"
"Percentage","Part per hundred","noun","preferred","","","Percent","Prozentsatz","Teil pro Hundert","noun","preferred","","masculine","Prozent","Proportion value","Mathematics","Relative amount","yes"
"Increase","Make larger","verb","preferred","","","Raise","erhöhen","Größer machen","verb","preferred","","","Steigern","Make more","Mathematics","Add to","yes"
"Decrease","Make smaller","verb","preferred","","","Lower","verringern","Kleiner machen","verb","preferred","","","Reduzieren","Make less","Mathematics","Subtract from","yes"
"Change","Make different","verb","preferred","","","Modify","ändern","Anders machen","verb","preferred","","","Verändern","Make different","General","Alter state","yes"
"Difference","Amount of change","noun","preferred","","","Delta","Unterschied","Betrag der Änderung","noun","preferred","","masculine","Differenz","Change amount","Mathematics","Delta value","yes"
"Same","Identical","adjective","preferred","","","Identical","Gleich","Identisch","adjective","preferred","","","Identisch","Not different","General","No change","yes"
"Different","Not the same","adjective","preferred","","","Distinct","Unterschiedlich","Nicht gleich","adjective","preferred","","","Anders","Not identical","General","Changed","yes"
"Copy","Duplicate item","verb","preferred","","","Duplicate","kopieren","Element duplizieren","verb","preferred","","","Duplizieren","Make duplicate","User Interface","Duplicate action","yes"
"Paste","Insert copied item","verb","preferred","","","Insert","einfügen","Kopiertes Element einfügen","verb","preferred","","","Einsetzen","Insert copy","User Interface","Insert action","yes"
"Cut","Remove to clipboard","verb","preferred","","","Remove","ausschneiden","In Zwischenablage entfernen","verb","preferred","","","Entfernen","Remove and copy","User Interface","Remove action","yes"
"Undo","Reverse last action","verb","preferred","","","Revert","rückgängig","Letzte Aktion umkehren","verb","preferred","","","Zurücknehmen","Reverse action","User Interface","Revert change","yes"
"Redo","Repeat reversed action","verb","preferred","","","Repeat","wiederholen","Umgekehrte Aktion wiederholen","verb","preferred","","","Wiederherstellen","Repeat undone","User Interface","Reapply change","yes"
"View","Look at information","verb","preferred","","","See","ansehen","Informationen betrachten","verb","preferred","","","Betrachten","Look at data","User Interface","See information","yes"
"List","Collection of items","noun","preferred","","","Collection","Liste","Sammlung von Elementen","noun","preferred","","feminine","Auflistung","Item collection","User Interface","Data collection","yes"
"Table","Data in rows and columns","noun","preferred","","","Grid","Tabelle","Daten in Zeilen und Spalten","noun","preferred","","feminine","Datentabelle","Data grid","User Interface","Data display","yes"
"Row","Horizontal data line","noun","preferred","","","Record","Zeile","Horizontale Datenlinie","noun","preferred","","feminine","Reihe","Table row","User Interface","Horizontal line","yes"
"Column","Vertical data line","noun","preferred","","","Field","Spalte","Vertikale Datenlinie","noun","preferred","","feminine","Kolumne","Table column","User Interface","Vertical line","yes"
"Field","Input area","noun","preferred","","","Input","Feld","Eingabebereich","noun","preferred","","neuter","Eingabefeld","Form field","User Interface","Input area","yes"
"Form","Data input container","noun","preferred","","","Input form","Formular","Dateneingabe-Container","noun","preferred","","neuter","Eingabeformular","Input container","User Interface","Data form","yes"
"Button","Clickable control","noun","preferred","","","Control","Schaltfläche","Klickbare Steuerung","noun","preferred","","feminine","Button","Click control","User Interface","UI control","yes"
"Link","Clickable connection","noun","preferred","","","Hyperlink","Link","Klickbare Verbindung","noun","preferred","","masculine","Verknüpfung","Web link","User Interface","Navigation link","yes"
"Menu","List of options","noun","preferred","","","Options list","Menü","Liste von Optionen","noun","preferred","","neuter","Optionsliste","Choice list","User Interface","Option menu","yes"
"Option","Choice item","noun","preferred","","","Choice","Option","Auswahlelement","noun","preferred","","feminine","Auswahl","Menu item","User Interface","Selection choice","yes"
"Dropdown","Expandable menu","noun","preferred","","","Select menu","Dropdown","Aufklappbares Menü","noun","preferred","","neuter","Aufklappmenü","Expandable list","User Interface","Select control","yes"
"Checkbox","Tickable box","noun","preferred","","","Check box","Kontrollkästchen","Ankreuzbares Kästchen","noun","preferred","","neuter","Checkbox","Tick box","User Interface","Selection box","yes"
"Radio Button","Single choice selector","noun","preferred","","","Option button","Optionsfeld","Einzelauswahl-Selektor","noun","preferred","","neuter","Radiobutton","Single select","User Interface","One choice","yes"
"Text","Written content","noun","preferred","","","Content","Text","Geschriebener Inhalt","noun","preferred","","masculine","Inhalt","Written data","General","Written info","yes"
"Number","Numeric value","noun","preferred","","","Numeral","Zahl","Numerischer Wert","noun","preferred","","feminine","Nummer","Numeric data","Mathematics","Digit value","yes"
"Integer","Whole number","noun","preferred","","","Whole","Ganzzahl","Ganze Zahl","noun","preferred","","feminine","Integer","Whole number","Mathematics","No decimals","yes"
"Decimal","Number with fraction","noun","preferred","","","Fraction","Dezimalzahl","Zahl mit Nachkommastellen","noun","preferred","","feminine","Kommazahl","Fractional number","Mathematics","With decimals","yes"
"Positive","Greater than zero","adjective","preferred","","","Plus","Positiv","Größer als Null","adjective","preferred","","","Plus","Above zero","Mathematics","Greater than 0","yes"
"Negative","Less than zero","adjective","preferred","","","Minus","Negativ","Kleiner als Null","adjective","preferred","","","Minus","Below zero","Mathematics","Less than 0","yes"
"Zero","Number 0","noun","preferred","","","Null","Null","Zahl 0","noun","preferred","","feminine","Zero","Nothing value","Mathematics","Empty amount","yes"
"Empty","Contains nothing","adjective","preferred","","","Blank","Leer","Enthält nichts","adjective","preferred","","","Blank","No content","General","Nothing inside","yes"
"Full","Contains maximum","adjective","preferred","","","Complete","Voll","Enthält Maximum","adjective","preferred","","","Komplett","At capacity","General","Maximum content","yes"
"Partial","Not complete","adjective","preferred","","","Incomplete","Teilweise","Nicht vollständig","adjective","preferred","","","Unvollständig","Part only","General","Not full","yes"
"Tip","Helpful hint","noun","preferred","","","Hint","Tipp","Hilfreicher Hinweis","noun","preferred","","masculine","Hinweis","Helpful advice","User Interface","User guidance","yes"
"Example","Sample instance","noun","preferred","","","Sample","Beispiel","Beispielinstanz","noun","preferred","","neuter","Muster","Sample case","General","Demonstration","yes"
"Default","Standard setting","noun","preferred","","","Standard","Standard","Standardeinstellung","noun","preferred","","masculine","Vorgabe","Preset value","System Feature","Initial value","yes"
"Custom","User-defined","adjective","preferred","","","Personalized","Benutzerdefiniert","Vom Benutzer definiert","adjective","preferred","","","Angepasst","User-created","System Feature","Customized","yes"
"Automatic Update","System updates itself","noun","preferred","","","Auto-update","Automatische Aktualisierung","System aktualisiert sich selbst","noun","preferred","","feminine","Auto-Update","Self-updating","System Feature","Auto maintenance","yes"
"Manual Update","User initiates update","noun","preferred","","","User update","Manuelle Aktualisierung","Benutzer initiiert Aktualisierung","noun","preferred","","feminine","Benutzer-Update","User-triggered update","System Feature","User maintenance","yes"
"Version","Software release number","noun","preferred","","","Release","Version","Software-Versionsnummer","noun","preferred","","feminine","Ausgabe","Release identifier","System Feature","Software version","yes"
"Update Available","New version ready","phrase","preferred","","","Upgrade ready","Update verfügbar","Neue Version bereit","phrase","preferred","","","Aktualisierung bereit","New version exists","System Feature","Can upgrade","yes"
"Current Version","Present software version","phrase","preferred","","","Active version","Aktuelle Version","Derzeitige Software-Version","phrase","preferred","","","Jetzige Version","Running version","System Feature","Now running","yes"
"System","Application infrastructure","noun","preferred","","","Infrastructure","System","Anwendungsinfrastruktur","noun","preferred","","neuter","Infrastruktur","App infrastructure","System Feature","Core system","yes"
"Database","Data storage system","noun","preferred","","","Data store","Datenbank","Datenspeichersystem","noun","preferred","","feminine","Datenspeicher","Data repository","System Feature","Data storage","yes"
"Server","Host computer","noun","preferred","","","Host","Server","Host-Computer","noun","preferred","","masculine","Host","Service provider","System Feature","Backend host","yes"
"Client","User's computer","noun","preferred","","","User device","Client","Benutzercomputer","noun","preferred","","masculine","Benutzergerät","User system","System Feature","Frontend device","yes"
"Network","Computer connections","noun","preferred","","","Connections","Netzwerk","Computerverbindungen","noun","preferred","","neuter","Verbindungen","System connections","System Feature","Communication","yes"
"Connection","Link between systems","noun","preferred","","","Link","Verbindung","Verknüpfung zwischen Systemen","noun","preferred","","feminine","Verknüpfung","System link","System Feature","Network link","yes"
"Online","Connected to network","adjective","preferred","","","Connected","Online","Mit Netzwerk verbunden","adjective","preferred","","","Verbunden","Network connected","System Feature","Has connection","yes"
"Offline","Not connected","adjective","preferred","","","Disconnected","Offline","Nicht verbunden","adjective","preferred","","","Getrennt","Not connected","System Feature","No connection","yes"
"Sync","Synchronize data","verb","preferred","","","Synchronize","synchronisieren","Daten synchronisieren","verb","preferred","","","Abgleichen","Match data","System Feature","Data matching","yes"
"Synchronization","Data matching process","noun","preferred","","","Syncing","Synchronisation","Datenabgleichsprozess","noun","preferred","","feminine","Abgleich","Matching process","System Feature","Sync process","yes"
"Cache","Temporary storage","noun","preferred","","","Buffer","Cache","Zwischenspeicher","noun","preferred","","masculine","Puffer","Temp storage","System Feature","Speed buffer","yes"
"Clear","Remove all items","verb","preferred","","","Empty","leeren","Alle Elemente entfernen","verb","preferred","","","Löschen","Remove everything","User Interface","Empty action","yes"
"Reset","Return to defaults","verb","preferred","","","Restore defaults","zurücksetzen","Auf Standard zurücksetzen","verb","preferred","","","Standardwerte","Return to initial","System Feature","Default restore","yes"
"Apply","Use settings","verb","preferred","","","Use","anwenden","Einstellungen verwenden","verb","preferred","","","Verwenden","Use changes","User Interface","Activate settings","yes"
"Discard","Throw away changes","verb","preferred","","","Cancel changes","verwerfen","Änderungen wegwerfen","verb","preferred","","","Abbrechen","Cancel changes","User Interface","Reject changes","yes"
"Keep","Retain item","verb","preferred","","","Retain","behalten","Element beibehalten","verb","preferred","","","Aufbewahren","Don't remove","User Interface","Preserve item","yes"
"Replace","Substitute item","verb","preferred","","","Substitute","ersetzen","Element austauschen","verb","preferred","","","Austauschen","Change for another","User Interface","Swap item","yes"
"Merge","Combine items","verb","preferred","","","Combine","zusammenführen","Elemente kombinieren","verb","preferred","","","Vereinen","Join together","Data Management","Combine data","yes"
"Split","Divide item","verb","preferred","","","Divide","aufteilen","Element teilen","verb","preferred","","","Trennen","Separate item","Data Management","Divide data","yes"
"Expand","Make larger view","verb","preferred","","","Enlarge","erweitern","Ansicht vergrößern","verb","preferred","","","Vergrößern","Show more","User Interface","Show details","yes"
"Collapse","Make smaller view","verb","preferred","","","Shrink","minimieren","Ansicht verkleinern","verb","preferred","","","Verkleinern","Show less","User Interface","Hide details","yes"
"Details","Specific information","noun","preferred","","","Specifics","Details","Spezifische Informationen","noun","preferred","","","Einzelheiten","Detailed info","User Interface","More info","yes"
"Summary","Brief overview","noun","preferred","","","Overview","Zusammenfassung","Kurze Übersicht","noun","preferred","","feminine","Überblick","Brief info","User Interface","Less info","yes"
"Report","Detailed document","noun","preferred","","","Document","Bericht","Detailliertes Dokument","noun","preferred","","masculine","Dokument","Detailed output","Data Management","Full document","yes"
"Log","Activity record","noun","preferred","","","Record","Protokoll","Aktivitätsaufzeichnung","noun","preferred","","neuter","Aufzeichnung","Activity history","System Feature","Event record","yes"
"History","Past events","noun","preferred","","","Past records","Verlauf","Vergangene Ereignisse","noun","preferred","","masculine","Historie","Past activity","System Feature","Previous events","yes"
"Activity","User actions","noun","preferred","","","Actions","Aktivität","Benutzeraktionen","noun","preferred","","feminine","Aktionen","User events","System Feature","What happened","yes"
"Event","System occurrence","noun","preferred","","","Occurrence","Ereignis","Systemvorkommnis","noun","preferred","","neuter","Vorkommnis","System happening","System Feature","What occurred","yes"
"Action","User operation","noun","preferred","","","Operation","Aktion","Benutzeroperation","noun","preferred","","feminine","Operation","User activity","User Interface","User did this","yes"
"Task","Work to do","noun","preferred","","","Job","Aufgabe","Zu erledigende Arbeit","noun","preferred","","feminine","Arbeit","Work item","System Feature","To-do item","yes"
"Job","Processing task","noun","preferred","","","Process","Job","Verarbeitungsaufgabe","noun","preferred","","masculine","Prozess","Processing work","System Feature","Background task","yes"
"Process","Running operation","noun","preferred","","","Operation","Prozess","Laufende Operation","noun","preferred","","masculine","Vorgang","Running task","System Feature","Active operation","yes"
"Queue","Waiting list","noun","preferred","","","Line","Warteschlange","Warteliste","noun","preferred","","feminine","Warteliste","Waiting line","System Feature","Process queue","yes"
"Priority","Importance level","noun","preferred","","","Importance","Priorität","Wichtigkeitsstufe","noun","preferred","","feminine","Wichtigkeit","Importance rank","System Feature","Order level","yes"
"High","Upper level","adjective","preferred","","","Top","Hoch","Obere Ebene","adjective","preferred","","","Oben","Top level","General","Upper value","yes"
"Medium","Middle level","adjective","preferred","","","Middle","Mittel","Mittlere Ebene","adjective","preferred","","","Mitte","Middle level","General","Center value","yes"
"Low","Lower level","adjective","preferred","","","Bottom","Niedrig","Untere Ebene","adjective","preferred","","","Unten","Bottom level","General","Lower value","yes"
"Normal","Standard level","adjective","preferred","","","Regular","Normal","Standardebene","adjective","preferred","","","Standard","Regular level","General","Default value","yes"
"Critical","Very important","adjective","preferred","","","Urgent","Kritisch","Sehr wichtig","adjective","preferred","","","Dringend","High priority","System Feature","Most important","yes"
"Warning Level","Alert threshold","noun","preferred","","","Alert level","Warnstufe","Alarmschwelle","noun","preferred","","feminine","Alarmstufe","Alert threshold","System Feature","Warning point","yes"
"Information","Data or facts","noun","preferred","","","Info","Information","Daten oder Fakten","noun","preferred","","feminine","Info","Data content","General","Facts/data","yes"
"Message","Communication text","noun","preferred","","","Communication","Nachricht","Kommunikationstext","noun","preferred","","feminine","Mitteilung","Text message","Communication","Text comm","yes"
"Notification Settings","Alert configuration","noun","preferred","","","Alert config","Benachrichtigungseinstellungen","Alarmkonfiguration","noun","preferred","","","Alarmeinstellungen","Alert setup","System Feature","Notice config","yes"
"Reminder","Memory prompt","noun","preferred","","","Prompt","Erinnerung","Gedächtnisstütze","noun","preferred","","feminine","Mahnung","Memory aid","System Feature","Don't forget","yes"
"Automatic Reminder","System-generated prompt","noun","preferred","","","Auto-reminder","Automatische Erinnerung","Systemgenerierte Erinnerung","noun","preferred","","feminine","Auto-Erinnerung","Auto memory aid","System Feature","System reminder","yes"
"Please","Polite request word","interjection","preferred","","","Request marker","Bitte","Höfliches Anfragewort","interjection","preferred","","","Anfrage","Polite marker","Communication","Request politely","yes"
"Thank you","Expression of gratitude","phrase","preferred","","","Thanks","Danke","Ausdruck der Dankbarkeit","phrase","preferred","","","Vielen Dank","Gratitude expression","Communication","Show thanks","yes"
"Welcome","Greeting expression","interjection","preferred","","","Greeting","Willkommen","Begrüßungsausdruck","interjection","preferred","","","Begrüßung","Welcome greeting","Communication","Greet user","yes"
"Goodbye","Parting expression","interjection","preferred","","","Farewell","Auf Wiedersehen","Abschiedsausdruck","interjection","preferred","","","Tschüss","Parting greeting","Communication","Say farewell","yes"