Medication Name,Current Count,Packages N1,Packages N2,Packages N3
"Pan Galactic Gargle Blaster",2,0,0,0
"Babel Fish",1,0,0,0
"Jynnan Tonnyx",15,0,0,0
"Heart of Gold Pills",25,0,0,0
"Vogon Poetry Antidote",8,1,0,0
"Deep Thought Supplements",50,1,0,0
"Towel Fiber Extract",42,2,0,0
"Total Perspective Vortex Shield",3,3,0,0
"Somebody Else's Problem Field",30,3,0,0
"Infinite Monkey Theorem Pills",120,2,0,0
"Restaurant at End of Universe Digestion Aid",25,2,0,0
"Magrathea Sleep Aid",85,2,0,0
"Improbability Drive Lubricant",10,1,0,0
"Hitchhiker's Guide Updates",2,0,1,0