Medication Name,Schedule Type,Interval Days,Weekdays,Times of Day,Units Per Dose
"Pan Galactic Gargle Blaster","interval",30,,"20:00",1.0
"Babel Fish","daily",1,,"08:00",1.0
"Jynnan Tonnyx","daily",1,,"12:00,20:00",1.0
"Heart of Gold Pills","daily",1,,"08:00,20:00",1.0
"Vogon Poetry Antidote","daily",1,,"09:00,13:00,18:00",1.0
"Deep Thought Supplements","daily",1,,"09:00",1.0
"Towel Fiber Extract","daily",1,,"07:00,12:00,18:00",2.0
"Total Perspective Vortex Shield","interval",7,,"10:00",1.0
"Somebody Else's Problem Field","daily",1,,"11:00",1.0
"Infinite Monkey Theorem Pills","daily",1,,"08:00,14:00,20:00,02:00",1.0
"Restaurant at End of Universe Digestion Aid","daily",1,,"19:00",1.0
"Magrathea Sleep Aid","daily",1,,"22:00",2.0
"Improbability Drive Lubricant","daily",2,,"10:00",1.0
"Hitchhiker's Guide Updates","interval",7,,"16:00",1.0